code,name,总市值,流通市值,行业,总股本,流通股
688678,福立旺,2618876883.12,2618876883.12,消费电子,243164056.0,243164056.0
688679,通源环境,937630486.0,937630486.0,环保行业,131689675.0,131689675.0
688680,海优新材,2541611382.75,2541611382.75,光伏设备,84020211.0,84020211.0
688681,科汇股份,1034139600.0000001,1034139600.0000001,电网设备,104670000.0,104670000.0
688682,霍莱沃,2185171722.72,2185171722.72,通信服务,72742068.0,72742068.0
688683,莱尔科技,2440948823.17,2440948823.17,消费电子,155177929.0,155177929.0
688685,迈信林,3514962541.3900003,3514962541.3900003,航天航空,145426667.0,145426667.0
688686,奥普特,8140881302.999999,8140881302.999999,仪器仪表,122235455.0,122235455.0
688687,凯因科技,4377886647.42,4377886647.42,生物制品,170944422.0,170944422.0
688689,银河微电,2795905636.2000003,2795905636.2000003,半导体,128902980.0,128902980.0
688690,纳微科技,7260589474.7,7260589474.7,化学制药,403814765.0,403814765.0
688691,灿芯股份,6465600000.0,1291261086.1200001,半导体,120000000.0,23965499.0
688692,达梦数据,16628800000.0,3125569596.4,软件开发,76000000.0,14285053.0
